epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2084.11,1.23933,2.26986,1.46186,0.5517,0.40325,0.4168,0.20568,1.6678,3.04795,1.92406,0.000553351,0.000553351,0.000553351
2,4055.73,1.33127,1.84095,1.53657,0.45634,0.42659,0.41431,0.2484,1.70702,3.31607,2.24935,0.00109804,0.00109804,0.00109804
3,6029.55,1.35092,1.68738,1.55404,0.62841,0.52772,0.571,0.35293,1.45587,2.07207,1.81439,0.00163172,0.00163172,0.00163172
4,8011.56,1.28471,1.55594,1.50727,0.68615,0.50889,0.59687,0.39109,1.44707,1.78783,1.76695,0.00161749,0.00161749,0.00161749
5,10046.4,1.25076,1.47199,1.50327,0.70736,0.56305,0.63139,0.40028,1.37666,1.705,1.66889,0.00160099,0.00160099,0.00160099
6,12092.6,1.21927,1.37095,1.44975,0.81393,0.67437,0.76554,0.51158,1.27066,1.32536,1.5634,0.00158448,0.00158448,0.00158448
7,14145.3,1.17596,1.32833,1.43981,0.75929,0.62634,0.71278,0.48318,1.26596,1.40743,1.58812,0.00156798,0.00156798,0.00156798
8,16203.8,1.14613,1.25901,1.40016,0.84874,0.68094,0.79133,0.53824,1.22913,1.14187,1.54806,0.00155148,0.00155148,0.00155148
9,18244.6,1.13689,1.21583,1.39755,0.82188,0.69044,0.78196,0.54286,1.21133,1.25503,1.4968,0.00153497,0.00153497,0.00153497
10,20274.5,1.12297,1.18246,1.37731,0.86966,0.74194,0.83336,0.5907,1.14802,1.04266,1.43038,0.00151847,0.00151847,0.00151847
11,22308,1.10204,1.13889,1.36293,0.83966,0.68056,0.78575,0.54419,1.20745,1.15333,1.53118,0.00150197,0.00150197,0.00150197
12,24773.8,1.07325,1.13036,1.34644,0.82595,0.6834,0.7891,0.5663,1.15724,1.10501,1.47867,0.00148546,0.00148546,0.00148546
13,27383.3,1.08009,1.08879,1.35041,0.85087,0.75893,0.84656,0.59818,1.11883,0.98432,1.41577,0.00146896,0.00146896,0.00146896
14,29428.2,1.06666,1.05983,1.33289,0.83558,0.73658,0.82439,0.58696,1.12996,1.08122,1.41157,0.00145246,0.00145246,0.00145246
15,31472.1,1.04029,1.04822,1.318,0.89026,0.75811,0.86137,0.62226,1.07997,0.92897,1.39809,0.00143595,0.00143595,0.00143595
16,33498.3,1.02943,1.00635,1.30908,0.87324,0.76324,0.85889,0.62044,1.08206,0.89613,1.36201,0.00141945,0.00141945,0.00141945
17,35531.5,1.01492,0.98936,1.30043,0.87882,0.76746,0.8625,0.62617,1.07032,0.89296,1.38592,0.00140295,0.00140295,0.00140295
18,37576.8,1.02134,1.00374,1.30207,0.90477,0.76537,0.87045,0.62693,1.0735,0.88949,1.38317,0.00138644,0.00138644,0.00138644
19,39608.6,1.00102,0.98561,1.28346,0.89253,0.80232,0.89131,0.64643,1.0466,0.83485,1.3495,0.00136994,0.00136994,0.00136994
20,41640.8,1.00867,0.97524,1.29439,0.8832,0.79878,0.89094,0.65257,1.01433,0.84947,1.32279,0.00135344,0.00135344,0.00135344
21,43669.1,1.01167,0.97803,1.28985,0.9096,0.78965,0.88657,0.65458,1.02368,0.81638,1.33578,0.00133693,0.00133693,0.00133693
22,45701.1,0.9788,0.93127,1.27807,0.91067,0.81843,0.90394,0.66783,1.00399,0.76676,1.32059,0.00132043,0.00132043,0.00132043
23,47736,0.97764,0.91132,1.26891,0.8852,0.79607,0.88613,0.64571,1.04743,0.82029,1.36375,0.00130393,0.00130393,0.00130393
24,49776.9,0.97275,0.91001,1.27484,0.91102,0.80479,0.90344,0.67587,0.98568,0.79592,1.30125,0.00128742,0.00128742,0.00128742
25,51794.6,0.95818,0.88525,1.2647,0.91163,0.81328,0.9066,0.67326,0.97451,0.79883,1.29681,0.00127092,0.00127092,0.00127092
26,53812.4,0.96895,0.9077,1.27258,0.90271,0.83124,0.9129,0.68025,0.98284,0.7813,1.29944,0.00125442,0.00125442,0.00125442
27,55829.6,0.93653,0.86751,1.25181,0.90024,0.83813,0.92013,0.69166,0.96276,0.75594,1.27484,0.00123791,0.00123791,0.00123791
28,57847.3,0.95611,0.87928,1.25384,0.88974,0.82737,0.91033,0.68826,0.94917,0.73189,1.26671,0.00122141,0.00122141,0.00122141
29,59865,0.94766,0.86821,1.25355,0.9022,0.83753,0.91949,0.69095,0.95691,0.71814,1.26749,0.00120491,0.00120491,0.00120491
30,61883.4,0.94448,0.86842,1.24895,0.90716,0.83451,0.91969,0.69659,0.9466,0.70929,1.25691,0.0011884,0.0011884,0.0011884
31,63898.7,0.92899,0.83654,1.23967,0.90698,0.85557,0.92814,0.70222,0.94896,0.67786,1.27639,0.0011719,0.0011719,0.0011719
32,65921.9,0.92118,0.83651,1.23358,0.90052,0.84267,0.91864,0.69569,0.94142,0.70772,1.25137,0.0011554,0.0011554,0.0011554
33,67940.4,0.90164,0.82174,1.22579,0.92102,0.85502,0.93501,0.70635,0.9281,0.64996,1.2566,0.00113889,0.00113889,0.00113889
34,69959.9,0.91532,0.82317,1.2335,0.90031,0.84883,0.92434,0.70063,0.93663,0.70474,1.26018,0.00112239,0.00112239,0.00112239
35,71972.4,0.91151,0.79719,1.22487,0.92674,0.86864,0.94339,0.72261,0.90215,0.64242,1.22682,0.00110589,0.00110589,0.00110589
36,73986.6,0.91188,0.8078,1.22198,0.91647,0.85929,0.93702,0.72257,0.89711,0.64435,1.22216,0.00108938,0.00108938,0.00108938
37,76001,0.89924,0.78305,1.21883,0.9243,0.87117,0.94192,0.72715,0.88807,0.62984,1.21956,0.00107288,0.00107288,0.00107288
38,78013.5,0.89982,0.77189,1.21454,0.91809,0.8741,0.94493,0.72794,0.89988,0.61243,1.21782,0.00105638,0.00105638,0.00105638
39,80035.4,0.89035,0.77444,1.20871,0.93083,0.87511,0.94821,0.7331,0.88298,0.60944,1.20733,0.00103987,0.00103987,0.00103987
40,82092.7,0.89511,0.77467,1.21064,0.92741,0.87062,0.94126,0.72885,0.89057,0.62613,1.22275,0.00102337,0.00102337,0.00102337
41,84136.4,0.8912,0.77305,1.20986,0.91418,0.89018,0.94703,0.73892,0.86756,0.59501,1.19425,0.00100687,0.00100687,0.00100687
42,86170.6,0.884,0.75911,1.20039,0.93755,0.88054,0.94929,0.73872,0.86494,0.59189,1.196,0.000990365,0.000990365,0.000990365
43,88267.8,0.89433,0.76093,1.20064,0.92992,0.89444,0.95666,0.74703,0.8564,0.57303,1.17961,0.000973861,0.000973861,0.000973861
44,90642.4,0.86408,0.73519,1.18893,0.93519,0.89464,0.95791,0.75308,0.85513,0.55056,1.17707,0.000957358,0.000957358,0.000957358
45,92848.1,0.86624,0.73319,1.19512,0.93317,0.8934,0.95595,0.74938,0.84785,0.56602,1.17377,0.000940855,0.000940855,0.000940855
46,94991.2,0.8684,0.74013,1.19608,0.93594,0.89861,0.96135,0.75932,0.83103,0.55021,1.16402,0.000924352,0.000924352,0.000924352
47,97079.7,0.85606,0.72979,1.17772,0.94309,0.89254,0.95792,0.75532,0.83808,0.55106,1.17968,0.000907848,0.000907848,0.000907848
48,99168.5,0.84996,0.71108,1.18941,0.9383,0.91093,0.96472,0.76464,0.82462,0.5284,1.1645,0.000891345,0.000891345,0.000891345
49,101264,0.85957,0.7123,1.18372,0.94642,0.91003,0.96639,0.7642,0.82288,0.52862,1.16116,0.000874842,0.000874842,0.000874842
50,103363,0.84281,0.70618,1.17132,0.9333,0.9097,0.96467,0.76665,0.82926,0.52862,1.159,0.000858338,0.000858338,0.000858338
51,105447,0.85235,0.70667,1.18052,0.93561,0.91403,0.96683,0.76494,0.82949,0.5282,1.16328,0.000841835,0.000841835,0.000841835
52,107540,0.84006,0.70323,1.17752,0.94373,0.91323,0.96661,0.76558,0.82093,0.5278,1.1554,0.000825332,0.000825332,0.000825332
53,109642,0.84309,0.70015,1.17954,0.94161,0.91682,0.96935,0.77311,0.81431,0.51301,1.155,0.000808828,0.000808828,0.000808828
54,111743,0.83115,0.66933,1.16608,0.93948,0.92714,0.97004,0.77685,0.80458,0.50246,1.13656,0.000792325,0.000792325,0.000792325
55,113845,0.83806,0.68782,1.1669,0.94356,0.91705,0.97007,0.7797,0.79299,0.50198,1.14168,0.000775822,0.000775822,0.000775822
56,115939,0.8376,0.68312,1.16951,0.94288,0.92405,0.97246,0.78308,0.78424,0.49665,1.13139,0.000759318,0.000759318,0.000759318
57,118033,0.83459,0.66243,1.17037,0.93877,0.92959,0.97174,0.77832,0.80105,0.49483,1.14436,0.000742815,0.000742815,0.000742815
58,120117,0.81596,0.66328,1.1593,0.93751,0.93696,0.97401,0.78879,0.78092,0.47715,1.12972,0.000726312,0.000726312,0.000726312
59,122222,0.81625,0.65181,1.15693,0.94312,0.93426,0.97499,0.7895,0.78134,0.48047,1.12759,0.000709809,0.000709809,0.000709809
60,124286,0.81362,0.64849,1.15783,0.94765,0.9288,0.97506,0.78808,0.77259,0.47229,1.11634,0.000693305,0.000693305,0.000693305
61,126353,0.8109,0.64715,1.15806,0.94884,0.93373,0.97518,0.78933,0.7757,0.47781,1.12408,0.000676802,0.000676802,0.000676802
62,128433,0.81594,0.64882,1.16149,0.95017,0.93687,0.97811,0.79595,0.76543,0.46686,1.1148,0.000660299,0.000660299,0.000660299
63,130525,0.80154,0.64311,1.14767,0.95895,0.9282,0.97761,0.79635,0.76583,0.46338,1.11165,0.000643795,0.000643795,0.000643795
64,132617,0.80635,0.64365,1.15453,0.94936,0.93428,0.9773,0.79627,0.76468,0.46091,1.11067,0.000627292,0.000627292,0.000627292
65,134719,0.80226,0.63742,1.14503,0.95604,0.94526,0.98124,0.80115,0.7525,0.4448,1.10434,0.000610789,0.000610789,0.000610789
66,136807,0.78413,0.60968,1.13574,0.94981,0.93921,0.97828,0.80174,0.74716,0.44638,1.10113,0.000594286,0.000594286,0.000594286
67,138972,0.78798,0.60795,1.14039,0.95735,0.95049,0.98174,0.80569,0.74425,0.43806,1.09198,0.000577782,0.000577782,0.000577782
68,141102,0.78164,0.6034,1.13073,0.96073,0.94493,0.98145,0.80637,0.74232,0.42962,1.09486,0.000561279,0.000561279,0.000561279
69,143208,0.78945,0.61149,1.13586,0.9654,0.94722,0.98127,0.80875,0.73761,0.43202,1.09178,0.000544776,0.000544776,0.000544776
70,145380,0.78117,0.60454,1.12986,0.96416,0.94608,0.98396,0.81526,0.72843,0.42105,1.08687,0.000528272,0.000528272,0.000528272
71,147491,0.77849,0.60158,1.12829,0.96901,0.94427,0.98292,0.81569,0.72341,0.41981,1.07905,0.000511769,0.000511769,0.000511769
72,149599,0.77106,0.59842,1.13048,0.96375,0.94916,0.9828,0.81579,0.72025,0.41697,1.08291,0.000495266,0.000495266,0.000495266
73,151678,0.77277,0.58683,1.12565,0.96366,0.94968,0.98455,0.81699,0.72949,0.41475,1.08501,0.000478762,0.000478762,0.000478762
74,153783,0.77358,0.60444,1.13037,0.96345,0.95324,0.98406,0.82058,0.71549,0.40628,1.07438,0.000462259,0.000462259,0.000462259
75,155870,0.776,0.586,1.12275,0.96772,0.95879,0.98634,0.82365,0.7097,0.40239,1.07068,0.000445756,0.000445756,0.000445756
76,157981,0.7756,0.58239,1.12484,0.96682,0.9618,0.98641,0.82345,0.70466,0.40313,1.07251,0.000429253,0.000429253,0.000429253
77,160075,0.75879,0.5741,1.12185,0.97171,0.95847,0.98695,0.82523,0.70463,0.39701,1.06731,0.000412749,0.000412749,0.000412749
78,162174,0.75526,0.57418,1.11477,0.97146,0.95689,0.98638,0.82629,0.69934,0.39182,1.06333,0.000396246,0.000396246,0.000396246
