epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,164282,0.76641,0.5817,1.12183,0.96938,0.95864,0.98687,0.82688,0.69944,0.39188,1.06425,0.000379743,0.000379743,0.000379743
80,166386,0.74609,0.56233,1.11196,0.96664,0.96438,0.98765,0.82943,0.6927,0.39076,1.06136,0.000363239,0.000363239,0.000363239
81,168539,0.75433,0.55748,1.11605,0.96314,0.96788,0.98826,0.83025,0.69331,0.38879,1.05861,0.000346736,0.000346736,0.000346736
82,170635,0.74784,0.56518,1.10905,0.96913,0.96546,0.98757,0.8321,0.689,0.38196,1.05473,0.000330233,0.000330233,0.000330233
83,172756,0.74125,0.55187,1.10801,0.96954,0.96774,0.98796,0.83666,0.67927,0.37587,1.04751,0.000313729,0.000313729,0.000313729
84,174983,0.73551,0.54804,1.10224,0.97133,0.969,0.98881,0.83758,0.67697,0.37074,1.04542,0.000297226,0.000297226,0.000297226
85,177268,0.73983,0.54888,1.10625,0.97274,0.96372,0.98836,0.83769,0.67436,0.3709,1.04358,0.000280723,0.000280723,0.000280723
86,179449,0.73212,0.54397,1.10453,0.97177,0.96627,0.98835,0.84182,0.66814,0.36425,1.04008,0.00026422,0.00026422,0.00026422
87,181627,0.73232,0.55455,1.09954,0.97279,0.97148,0.98908,0.84358,0.66802,0.36276,1.0381,0.000247716,0.000247716,0.000247716
88,183776,0.73336,0.54383,1.10395,0.97638,0.9681,0.98941,0.84577,0.66349,0.3593,1.0342,0.000231213,0.000231213,0.000231213
89,185940,0.72411,0.53426,1.0956,0.97557,0.96926,0.9897,0.84544,0.6625,0.3595,1.03224,0.00021471,0.00021471,0.00021471
90,188174,0.7165,0.53055,1.09409,0.97671,0.96999,0.98956,0.84476,0.6612,0.35562,1.03304,0.000198206,0.000198206,0.000198206
91,190354,0.67284,0.4165,1.05108,0.97624,0.96644,0.9892,0.84337,0.66092,0.35928,1.03236,0.000181703,0.000181703,0.000181703
92,192465,0.66203,0.39069,1.04943,0.97662,0.97261,0.98992,0.84687,0.6563,0.3543,1.02981,0.0001652,0.0001652,0.0001652
93,194619,0.65793,0.38956,1.04395,0.97668,0.97122,0.9901,0.8487,0.64977,0.35175,1.02453,0.000148696,0.000148696,0.000148696
94,196852,0.65015,0.38284,1.03688,0.97785,0.97597,0.9907,0.85203,0.64377,0.34736,1.02056,0.000132193,0.000132193,0.000132193
95,199004,0.64913,0.37713,1.0388,0.97613,0.97819,0.99089,0.85309,0.63849,0.34411,1.01828,0.00011569,0.00011569,0.00011569
96,201124,0.64687,0.37795,1.03449,0.97724,0.97611,0.991,0.85443,0.63621,0.34159,1.01692,9.91865e-05,9.91865e-05,9.91865e-05
97,203292,0.63909,0.36838,1.02919,0.97874,0.97712,0.99139,0.85779,0.63136,0.33776,1.01351,8.26832e-05,8.26832e-05,8.26832e-05
98,205445,0.63626,0.36541,1.03231,0.97871,0.97785,0.99145,0.85806,0.6302,0.33708,1.01307,6.61799e-05,6.61799e-05,6.61799e-05
99,207625,0.6324,0.36128,1.02439,0.97876,0.97848,0.99153,0.85805,0.62903,0.33421,1.0114,4.96766e-05,4.96766e-05,4.96766e-05
100,209797,0.62909,0.36177,1.02357,0.97967,0.97791,0.99176,0.85972,0.62627,0.33255,1.01048,3.31733e-05,3.31733e-05,3.31733e-05
